"reviewid","reviewerid","revieweduserid","rating","reviewtext","reviewdate"
1,1,2,5,"Great seller!","2024-01-24"
2,5,4,4,"Item as described.","2024-02-19"
3,9,6,3,"Good but shipping was slow.","2024-03-14"
4,13,8,5,"Excellent service!","2024-03-25"
5,17,10,4,"Very satisfied with the purchase.","2024-04-10"
6,21,12,2,"Product was damaged on arrival.","2024-04-21"
7,25,14,5,"Highly recommend!","2024-05-01"
8,29,16,3,"Okay experience.","2024-05-15"
9,33,18,4,"Good value for money.","2024-06-03"
10,37,20,1,"Terrible service!","2024-06-18"
11,2,22,5,"Fast shipping!","2024-06-29"
12,6,24,3,"Average experience.","2024-07-10"
13,10,26,4,"Satisfied with the product.","2024-07-25"
14,14,28,2,"Not as described.","2024-08-05"
15,18,30,5,"Excellent product!","2024-08-20"
16,22,3,4,"Very good transaction.","2024-09-02"
17,26,5,3,"Could be better.","2024-09-15"
18,30,7,1,"Very disappointed.","2024-09-28"
19,3,9,5,"Fantastic seller!","2024-10-10"
20,7,11,2,"Product was delayed.","2024-10-24"
21,11,13,4,"Satisfied overall.","2024-11-06"
22,15,15,5,"Highly recommend!","2024-11-18"
23,19,17,3,"Just okay.","2024-12-02"
24,23,19,1,"Will not buy again.","2024-12-16"
25,27,21,5,"Very happy with the purchase!","2024-12-29"
26,31,23,2,"Not satisfied.","2025-01-12"
27,35,25,4,"Good product, bad service.","2025-01-25"
28,4,27,5,"Perfect transaction.","2025-02-06"
29,8,29,3,"Average quality.","2025-02-19"
30,12,1,4,"Will buy again.","2025-03-01"
